Length	Field
9.1509150900E+00	7.1049909800E-01
9.1659165900E+00	7.1058317900E-01
9.1809180900E+00	7.1066726100E-01
9.1959195900E+00	7.1075134300E-01
9.2109210900E+00	7.1083542400E-01
9.2259225900E+00	7.1091950600E-01
9.2409240900E+00	7.1100358800E-01
9.2559255900E+00	7.1108766900E-01
9.2709270900E+00	7.1117175100E-01
9.2859285900E+00	7.1125583300E-01
9.3009300900E+00	7.1133991400E-01
9.3159315900E+00	7.1142399600E-01
9.3309330900E+00	7.1150807800E-01
9.3459345900E+00	7.1159216000E-01
9.3609360900E+00	7.1167624100E-01
9.3759375900E+00	7.1176032300E-01
9.3909390900E+00	7.1184440500E-01
9.4059405900E+00	7.1192848700E-01
9.4209420900E+00	7.1201256900E-01
9.4359435900E+00	7.1209665100E-01
9.4509450900E+00	7.1218073300E-01
9.4659465900E+00	7.1226481500E-01
9.4809480900E+00	7.1234889700E-01
9.4959495900E+00	7.1243297900E-01
9.5109511000E+00	7.1251706100E-01
9.5259526000E+00	7.1260114300E-01
9.5409541000E+00	7.1268522500E-01
9.5559556000E+00	7.1276930700E-01
9.5709571000E+00	7.1285338900E-01
9.5859586000E+00	7.1293747100E-01
9.6009601000E+00	7.1302155300E-01
9.6159616000E+00	7.1310563600E-01
9.6309631000E+00	7.1318971800E-01
9.6459646000E+00	7.1327380000E-01
9.6609661000E+00	7.1335788200E-01
9.6759676000E+00	7.1345187200E-01
9.6909691000E+00	7.1355624200E-01
9.7059706000E+00	7.1366061300E-01
9.7209721000E+00	7.1375370300E-01
9.7359736000E+00	7.1382746900E-01
9.7509751000E+00	7.1390123400E-01
9.7659766000E+00	7.1397499900E-01
9.7809781000E+00	7.1404876400E-01
9.7959796000E+00	7.1412252900E-01
9.8109811000E+00	7.1419629500E-01
9.8259826000E+00	7.1427006000E-01
9.8409841000E+00	7.1434382500E-01
9.8559856000E+00	7.1441759100E-01
9.8709871000E+00	7.1449135600E-01
9.8859886000E+00	7.1456512100E-01
9.9009901000E+00	7.1463888700E-01
9.9159916000E+00	7.1471265200E-01
9.9309931000E+00	7.1478641700E-01
9.9459946000E+00	7.1486018300E-01
9.9609961000E+00	7.1493394800E-01
9.9759976000E+00	7.1500771300E-01
9.9909991000E+00	7.1508147900E-01
1.0006000600E+01	7.1515524400E-01
1.0021002100E+01	7.1522901000E-01
1.0036003600E+01	7.1530277500E-01
1.0051005100E+01	7.1537654100E-01
1.0066006600E+01	7.1545030600E-01
1.0081008100E+01	7.1552407100E-01
1.0096009600E+01	7.1559783700E-01
1.0111011100E+01	7.1567160200E-01
1.0126012600E+01	7.1574536800E-01
1.0141014100E+01	7.1581913300E-01
1.0156015600E+01	7.1589289900E-01
1.0171017100E+01	7.1596666400E-01
1.0186018600E+01	7.1604043000E-01
1.0201020100E+01	7.1611419500E-01
1.0216021600E+01	7.1618796100E-01
1.0231023100E+01	7.1626172700E-01
1.0246024600E+01	7.1633549200E-01
1.0261026100E+01	7.1640925800E-01
1.0276027600E+01	7.1648302300E-01
1.0291029100E+01	7.1655678900E-01
1.0306030600E+01	7.1663055400E-01
1.0321032100E+01	7.1670432000E-01
1.0336033600E+01	7.1677808600E-01
1.0351035100E+01	7.1685185100E-01
1.0366036600E+01	7.1692561700E-01
1.0381038100E+01	7.1699938300E-01
1.0396039600E+01	7.1707314800E-01
1.0411041100E+01	7.1714750400E-01
1.0426042600E+01	7.1722282600E-01
1.0441044100E+01	7.1729814700E-01
